Mcm4
Rrm2
Cdc45
Uhrf1
Msh2
Gmnn
Exo1
Chaf1b
Mcm2
Hells
Dscc1
Rad51ap1
Cdc6
Fen1
Ubr7
Slbp
Rpa2
Gins2
Dtl
Tipin
Cdca7
Nasp
Wdr76
Pola1
Blm
Ung
Mcm5
Usp1
Tyms
Clspn
Prim1
Mcm6
E2f8
Rfc2
Ccne2
Brip1
Rrm1
Casp8ap2
Rad51
Pcna
