Cbx5
Gtse1
Dlgap5
Smc4
Cdc25c
Kif20b
Cdca2
Ctcf
Cdk1
Gas2l3
Anp32e
Ttk
Ncapd2
G2e3
Hmgb2
Cks2
Top2a
Ckap2
Tacc3
Cdca3
Hjurp
Cdca8
Tpx2
Ndc80
Hmmr
Ccnb2
Aurkb
Kif11
Cenpe
Rangap1
Cenpf
Kif2c
Anln
Ect2
Cdc20
Cenpa
Psrc1
Birc5
Nek2
Kif23
Lbr
Cks1b
Tubb4b
Ube2c
Mki67
Ckap2l
Nusap1
Nuf2
Aurka
Bub1
Ckap5
